,priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage,OOSLA
0,0,0,4,0.0,89,0,0,13,66,6,6,6,6,173,173,0,0,0,1.8,0.0,0.0,0.0,0.706204534,0.327198386,1
1,1,12,9,30.5,185,48,46,85,21,2,2,2,2,60,60,1,0,0,2.4,0.2,0.066666667,1.066666667,0.086094379,0.052035801,0
2,1,0,5,0.0,369,0,0,0,68,8,2,8,2,272,37,0,0,0,0.2,0.066666667,0.0,0.066666667,0.080514669,0.104976915,0
3,0,7,9,22.28571429,71,0,0,0,79,32,25,32,25,727,569,0,0,0,2.0,0.0,0.0,1.4,0.8011519909999999,0.235612214,1
4,2,7,6,35.0,104,1,1,21,7,4,0,4,0,194,0,0,0,0,0.545454545,0.0,0.0,0.5,0.34632358,0.28408485699999997,0
5,0,0,0,0.0,42,4,4,0,0,113,41,113,41,2710,1041,0,0,0,0.0,0.0,0.0,0.0,0.919604421,0.235612214,1
6,1,0,2,0.0,41,0,0,0,0,35,1,35,1,1115,30,0,0,0,0.066666667,0.0,0.0,0.066666667,0.038571656,0.188180447,0
7,1,10,5,20.0,34,0,0,0,0,79,8,79,8,2274,251,0,0,0,1.333333333,0.2,0.2,1.9333333330000002,0.04120478,0.182768643,0
8,0,7,8,22.0,84,1,1,1,0,17,2,17,2,519,45,1,0,9,2.6,0.0,0.0,1.8,0.58818084,0.41220364,0
9,1,31,14,45.54838710000001,168,0,0,0,0,57,7,57,7,1684,209,0,0,3,4.0,0.6,0.2,3.0,0.040686995,0.20631085300000002,1
10,2,3,6,44.33333333,29,0,0,0,0,6,0,6,0,159,0,0,0,10,0.636363636,0.13636363599999998,0.0,0.13636363599999998,0.253165066,0.327198386,0
11,1,0,3,0.0,105,0,0,0,0,12,3,12,3,363,96,0,0,4,0.26666666699999997,0.0,0.0,0.0,0.08604493699999999,0.025711562,0
12,0,11,9,29.09090909,124,0,0,0,0,67,7,67,7,2299,238,0,0,0,3.0,0.0,0.8,3.6,0.097987503,0.10708457199999999,0
13,1,28,13,39.21428571,115,0,0,0,0,11,2,11,2,236,30,7,1,0,2.866666667,0.333333333,1.466666667,6.0,0.041191131,0.004128313,0
14,0,0,4,0.0,99,2,2,4,0,19,5,19,5,545,108,0,0,0,1.2,0.0,0.0,0.2,0.8290675279999999,0.097291797,1
15,2,1,3,24.0,159,89,87,113,19,3,0,3,0,52,0,1,0,0,0.318181818,0.0,0.0,0.045454545,0.255615413,0.033028863,0
16,2,2,5,13.0,82,18,14,0,0,27,3,25,2,634,59,2,0,0,0.409090909,0.0,0.045454545,0.409090909,0.076433003,0.109401643,0
17,0,3,5,112.0,59,0,0,0,13,27,3,27,3,1020,133,1,1,0,1.4,0.0,0.0,1.4,0.8184182640000001,0.244645312,1
18,2,1,4,117.0,69,23,22,0,0,10,2,10,2,313,52,0,0,0,0.272727273,0.045454545,0.0,0.045454545,0.096114695,0.43648833,0
19,0,1,3,14.0,22,0,0,0,8,2,0,2,0,175,0,0,0,0,0.6,0.0,0.2,1.4,0.879911482,0.08038903,0
